task|name|published|size|memory|cifar10|cifar100|SVHN|COCO|imagenet|cited|paper|model path
recognition|alexNet|2012.12.03||||||||18438|https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks|
recognition|vgg|2014.09.04||||||||8205|https://arxiv.org/abs/1409.1556|
recognition|inception|2014.09.17||||||||5591|https://arxiv.org/abs/1409.4842|
recognition|inception-rethink|2015.12.02||||||||794|https://arxiv.org/abs/1512.00567|
recognition|inception-resnet|2016.02.23||||||||480|https://arxiv.org/abs/1602.07261|
recognition|resNet|2015.12.10||||||||5464|https://arxiv.org/abs/1512.03385|
recognition|resNet-identity|2016.05.16||||||||575|http://arxiv.org/abs/1611.04231|
recognition|wideResNet|2016.05.23||||||||285|https://arxiv.org/abs/1605.07146|
recognition|resnet-in-resent|2016.05.25||||||||37|https://arxiv.org/abs/1603.08029|
recognition|fractalNet|2016.05.24||||||||70|https://arxiv.org/abs/1605.07648|
recognition|denseNet|2016.08.25||||||||378|https://arxiv.org/abs/1608.06993|
recognition|squeezeNet|2016.02.24||||||||264|https://arxiv.org/abs/1602.07360|
recognition|polyNet|2016.11.17||||||||19|https://arxiv.org/abs/1611.05725|
recognition|SENet|2017.09.05||||||||26|https://arxiv.org/abs/1709.01507|
recognition|nasNet|2017.12.01||||||||17|https://arxiv.org/abs/1707.07012|
recognition|capsule|2017.11.09||||||||9|https://arxiv.org/abs/1710.09829|
||||||||||||
http://blog.qure.ai/notes/semantic-segmentation-deep-learning-review ||||||||||||
segmentation|fcn|||||||||||
segmentation|mask r-cnn|||||||||||
segmentation|deepLab|||||||||||
segmentation|u-net|||||||||||
||||||||||||
https://www.jianshu.com/p/6677247f05b4||||||||||||
localization|r-cnn||||||||||http://arxiv.org/abs/1311.2524|
localization|SPP_net||||||||||http://arxiv.org/abs/1406.4729|
localization|fast r-cnn||||||||||http://arxiv.org/abs/1504.08083|
localization|faster r-cnn|||||||||| http://arxiv.org/abs/1506.01497|
localization|SSD||||||||||https://arxiv.org/abs/1311.2524|
localization|YOLO||||||||||http://arxiv.org/abs/1506.02640|
||||||||||||
localization|craft|||||||||||
localization|ION|||||||||||
localization|OHEM|||||||||||
localization|R-FCN|||||||||||
localization|PVANEt|||||||||||
localization|NoC|||||||||||
localization|DeepID-Net|||||||||||
localization|multi-box|||||||||||
