task|name|date|params(M)|cifar10|cifar100|SVHN|imageNet top1|imagenet top5|citation|paper|model path|||||||||
recognition|alexNet|2012.12.03|60|na|na|na|36.7|15.4|18438|https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks||||||||||
recognition|vgg19|2014.09.04|144|na|na|na|25.5|7.3|8205|https://arxiv.org/abs/1409.1556|x|||||||||
recognition|inception|2014.09.17|6.8|na|na|na|na|6.67|5591|https://arxiv.org/abs/1409.4842||||||||||
recognition|inception_v3|2015.12.02|23.8|na|na|na|18.77|4.2|794|https://arxiv.org/abs/1512.00567|x|||||||||
recognition|inception_resNet|2016.02.23|55.8|na|na|na|17.8|3.7|480|https://arxiv.org/abs/1602.07261|x|||||||||
recognition|resNet_v1_56_cifar|2015.12.10|0.86|6.97|25.16|na|na|na|5464|https://arxiv.org/abs/1512.03385|x|||||||||
recognition|resNet_v1_110_cifar|2015.12.10|1.7|6.43|25.16|na|na|na|5464|https://arxiv.org/abs/1512.03385|x|||||||||
recognition|resNet_v1_50|2015.12.10|25.6|na|na|na|24.1|7.1|5464|https://arxiv.org/abs/1512.03385|x|||||||||
recognition|resNet_v1_152|2015.12.10|60.4|na|na|na|21.43|5.71|5464|https://arxiv.org/abs/1512.03385|x|||||||||
recognition|highway-nets|2015.11.03|2.3|7.76|na|na|na|na|320|https://arxiv.org/pdf/1505.00387.pdf||||||||||
recognition|resNet_v2|2016.05.16|na|na|na|na|35.29|na|575|http://arxiv.org/abs/1611.04231||||||||||
recognition|resNet_v2_56_cifar|2016.05.16|1.6|6.99|na|na|na|na|575|http://arxiv.org/abs/1611.04231|x|||||||||
recognition|resNet_v2_110_cifar|2016.05.16|3.3|6.38|24.64|na|na|na|575|http://arxiv.org/abs/1611.04231|x|||||||||
recognition|wideResNet_16_4|2016.05.23|2.9|5.24|23.91|1.64|na|na|285|https://arxiv.org/abs/1605.07146|x|||||||||
recognition|wideResNet_28_10|2016.05.23|36|3.89|18.85|1.64|na|na|285|https://arxiv.org/abs/1605.07146|x|||||||||
recognition|wideResNet-50-2|2016.05.23|na|na|na|na|21.9|5.79|285|https://arxiv.org/abs/1605.07146||||||||||
recognition|resNet-in-resent|2016.05.25|na|5.01|22.9|na|na|na|37|https://arxiv.org/abs/1603.08029||||||||||
recognition|fractalNet-40|2016.05.24|22.9|5.24|22.49|na|na|na|71|https://arxiv.org/abs/1605.07648|x|||||||||
recognition|fractalNet-20|2016.05.24|38.6|5.22|23.3|na|na|na|71|https://arxiv.org/abs/1605.07648||||||||||
recognition|denseNet_40_12|2016.08.25|1|5.24|24.42|1.79|na|na|378|https://arxiv.org/abs/1608.06993|x|||||||||
recognition|denseNet_100_12|2016.08.25|7.2|4.1|20.2|1.67|na|na|378|https://arxiv.org/abs/1608.06993|x|||||||||
recognition|denseNet_100_24|2016.08.25|27.2|3.74|19.25|1.59|na|na|378|https://arxiv.org/abs/1608.06993|x|||||||||
recognition|denseNet_BC(l=100, k=12)|2016.08.25|0.8|4.51|22.27|1.76|na|na|378|https://arxiv.org/abs/1608.06993||||||||||
recognition|denseNet_BC(l=250, k=24)|2016.08.25|15.3|3.62|17.6|1.74|na|na|378|https://arxiv.org/abs/1608.06993||||||||||
recognition|denseNet_BC(l=190, k=40)|2016.08.25|25.6|3.46|17.18|na|na|na|378|https://arxiv.org/abs/1608.06993||||||||||
recognition|denseNet_121|2016.08.25|8.1|na|na|na|25.02|7.71|378|https://arxiv.org/abs/1608.06993|x|||||||||
recognition|denseNet_201|2016.08.25|20.2|na|na|na|22.58|6.34|378|https://arxiv.org/abs/1608.06993|x|||||||||
recognition|shake-shake|2017.05.21|2.9|2.86|15.85|na|na|na|16|https://arxiv.org/abs/1705.07485||||||||||
recognition|squeezeNet|2016.02.24|1.24|na|na|na|39.6|17.5|264|https://arxiv.org/abs/1602.07360|x|||||||||
recognition|nasNet_cifar|2017.12.01|3.3|2.65|na|na|na|na|17|https://arxiv.org/abs/1707.07012|x|||||||||
recognition|nasNet_small|2017.12.01|88.9|na|na|na|17.3|3.8|17|https://arxiv.org/abs/1707.07012|x|||||||||
recognition|nasNet_large|2017.12.01|5.3|na|na|na|26|8.4|17|https://arxiv.org/abs/1707.07012|x|||||||||
recognition|capsule|2017.11.09|na|na|na|na|na|na|9|https://arxiv.org/abs/1710.09829||||||||||
recognition|mobile|2017.04.17|4.2|na|na|na|20.4|10.5|88|https://arxiv.org/abs/1704.04861|x|||||||||
||||||||||||||||||||
